Название,Жанр,Режиссер,Страна,Год,IMDB
Салли Гарднер в галопе,,,,1878, 
Сцена в саду Раундхэй,Документальное кино,Луи Лепренс,Англия,14 октября,7.3
Защита (Запрещено расклеивать объявления),"комедийный фильм,немое кино",Жорж Мельес,Франция,1896,4.9
Замок дьявола,"фантастика,ужасы",Жорж Мельес,Франция,1896,6.7
Китайский опиумный притон,Немое кино,Уильям Диксон,США,1894,5.0
Карменсита,Документальное кино,Уильям Диксон,США,1894,5.7
"Человек, поворачивающий за угол","немое кино,документальный фильм",Луи Лепренс,Франция,1887,5.2
Бой Леонарда против Кушинга,"немое кино,документальный фильм,[d]","Уильям Диксон,Уильям Хейз",США,1894,5.0
Лошадь и всадник прыгают через препятствие,учебный фильм,Оттомар Аншютц,Германская империя,1888,5.7
Игра в снежки,"документальное кино,комедия",Луи Люмьер,Франция,1896,6.7
Аккордеонист,Документальное кино,Луи Лепренс,Великобритания,1888,5.5
Движение транспорта по мосту Лидс,Документальное кино,Луи Лепренс,Англия,1888,6.6
Вокруг кабинки,мультфильм,Эмиль Рейно,Франция,1894,6.1
Драгуны переплывают Сону,документальный фильм,"Луи Люмьер,Огюст Люмьер",Франция,1896,5.3
Бивак,Документальное кино,Жорж Мельес,Франция,1896,4.0
Грабители,криминальный фильм,Уильям Поль,Великобритания,1896,5.2
Бедный Пьеро,мультфильм,Эмиль Рейно,Франция,1892,6.5
Клоун и его собачки,мультфильм,Эмиль Рено,"Франция,[1]",1892,5.7
Прибытие поезда,документальный,"Огюст Люмьер,Луи Люмьер",Франция,,7.4
Кружка пива,мультфильм,Эмиль Рейно,Франция,1892,5.4
Женщина издалека,"военный фильм,драма",Тахир Сабиров,СССР,1978, 
Прибытие поезда на вокзал в Венсене,Документальное кино,Жорж Мельес,Франция,1896,4.9
Гранд-канал в Венеции,документальное кино,Александр Промио,Франция,1896,6.3
Лето солнечного затмения,фильм-драма,Хиромити Хорикава,Япония,, 
Рип ван Винкль,драма,Уильям Диксон,,1896,4.8
Возвращение мужа,комедия,Уильям Поль,Великобритания,1896,5.1
Под небом древних пустынь,,"Шнейдеров, Владимир Адольфович",СССР,1958, 
Dancing Darkies,документальный фильм,Уильям К.Л. Диксон,США,1896,7.4
Рип просыпается,драма,Уильям Диксон,США,1896,4.4
Новобрачная отходит ко сну,эротика,Альбер Киршнер,Франция,1896,5.3
Исчезновение дамы в театре Робер-Уден,немое кино,Жорж Мельес,Франция,1896,6.3
Лошадиная ярмарка в Барнете,Документальное кино,Роберт Уильям Поль,Великобритания,1896,3.7
Лодки покидают порт в Трувилле,Документальное кино,Жорж Мельес,Франция,1896,4.1
Золотой полоз,"драма,фэнтези,семейный фильм",Владимир Макеранец,Россия,2007, 
Завтрак младенца,Документальный,Луи Люмьер,Франция,1895,5.9
"Знаток муси
",,,,1999 год, 
Выход рабочих с фабрики,Документальный,Луи Люмьер,Франция,1895,6.9
Президент Маккинли дома,документальный фильм,Уильям К.Л. Диксон,США,1896,4.7
Вольтижировка,Документальный,Луи Люмьер,Франция,1895,5.5
Кошмар,фильм ужасов,Жорж Мельес,Франция,1896,6.5
Дерби,"Документальное кино,спортивный фильм",Бирт Акрес,Великобритания,1895,4.8
Спасибо,Комедия,Дмитрий Томашпольский,Россия,2003, 
Пушкин и Пущин,"документальный фильм,исторический фильм",Марина Голдовская,СССР,1980, 
Путь к медалям,драма,", ,Никита Орлов","СССР,Япония",, 
Strangulation Blues,драма,Леос Каракс,Франция,1980, 
,хард-рок,,,, 
Keep smiling!,документальный,Аскольд Саулитис,Латвия,2003, 
Мастерские в Ла-Сьота,документальный,Луи Люмьер,Франция,1896,5.2
Морское купание,документальное кино,Жорж Мельес,Франция,1896,4.5
Поцелуй,мелодрама,Уильям Хейс,США,1896,5.9
Последний патрон,военный фильм,Жорж Мельес,Франция,1897,5.3
Фауст и Маргарита,фантастика,Жорж Мельес,Франция,1897,4.8
Арест карманника,детективный фильм,Бирт Акрес,Великобритания,1895,4.8
"
",,,,13 апреля, 
Бушующее море у Дувра,документальный фильм,Бирт Акрес,Великобритания,1895,5.2
Смерть Марата,исторический фильм,Жорж Гато,Франция,1897,4.9
Отправление на поезде из Иерусалима,Документальное кино,Луи Люмьер,Франция,1897,6.2
Бокс с кенгуру,документальный фильм,Макс Складановский,Германия,1895,5.2
Акробатическая смесь,"хроника,короткометражка",Макс Складановский,Германская империя,1895,5.2
Апофеоз,короткометражка,Макс Складановский,Германская империя,1895,4.3
Заколдованная гостиница,комедия,Жорж Мельес,Франция,1897,6.4
Peeping Tom,"драматический фильм,комедия",,США,1897,5.8
Кабинет Мефистофеля,фильм ужасов,Жорж Мельес,Франция,1897,5.1
Замок с привидениями,фильм ужасов,Жорж Мельес,Франция,1897,6.3
Бокс,документальный фильм,"Макс Складановский,Эмиль Складановский",Германия,1895,5.1
Регата Хенли,"Документальное кино,спортивный фильм",Бирт Акрес,Великобритания,1897,3.9
Ограбление,комедия,Уильям Поль,Великобритания,1897,5.4
Взятие Турнавоса,военный фильм,Жорж Мельес,Франция,1897,5.4
Рентгеновские лучи,комедия,Джордж Альберт Смит,Великобритания,1897,6.1
Танец Лои Фуллер,документальный фильм,Уильям Диксон,США,1895,6.5
Ужасная ночь,"ужасы,комедия,короткометражка",Жорж Мельес,Франция,1896,5.7
Транзит Венеры,"документальный фильм,мультфильм,немое кино","Пьер Жюль Сезар Жансен,[1]","Япония,Франция",9 декабря,6.8
Новая драка подушками,комедия,Зигмунд Любин,США,1897,4.9
Между Дувром и Кале,короткометражный,Жорж Мельес,Франция,1897,5.4
Площадь Корделье в Лионе,Документальный,Луи Люмьер,Франция,1895,5.6
Партия в карты,Документальное кино,Жорж Мельес,Франция,1896,5.1
Прибытие делегатов на фотоконгресс в Лионе,Документальный,Луи Люмьер,Франция,1895,5.7
Прыжок через одеяло,Документальный,Луи Люмьер,Франция,1895,5.5
Морское купание,документальное кино,Луи Люмьер,Франция,1895,5.7
Кузнецы,документальный,Луи Люмьер,Франция,1895,5.1
Ловля золотых рыбок,Документальный,Луи Люмьер,Франция,1895,5.1
Политый поливальщик,комедия,Луи Люмьер,Франция,1895,7.1
Езда на гренландских собаках,Документальное кино,Петер Эльфельт,Дания,1897,5.0
Механический мясник,"Комедия,фантастика",Луи Люмьер,Франция,1895,5.9
Бой Корбетта и Фитцсиммонса,документальный фильм,Энок Дж. Ректор,США,1897,5.3
Железный человек,"Фильм нуар,Спортивный фильм",Джозеф Певни,США,1951,6.3
Серпантин,короткометражка,Макс Складановский,Германия,1895,5.0
Регата между Оксфордским и Кембриджском университетами,Документальное кино,Бирт Акрес,Великобритания,1895,3.9
Дом на Телеграфном холме,Фильм нуар,Роберт Уайз,США,,6.9
Жених возвращается,"музыкальная,комедия",Фрэнк Капра,США,1951,6.3
Открытие Кильского канала,Документальное кино,Бирт Акрес,Великобритания,1895,3.9
Игра в карты,документальный фильм,Луи Люмьер,Франция,1895,5.6
Казнь Марии Шотландской,"исторический,Фильм ужасов",Альфред Кларк,США,1895,6.6
Долгая ночь,Фильм нуар,Джозеф Лоузи,США,1951,6.3
Поливальщик,комедия,Жорж Мельес,Франция,1896,5.6
Дитя Монте-Карло,комедийный фильм,Жан Буайе,Великобритания,1951,6.0
Голливудская история,"Фильм нуар,Триллер",Уильям Касл,США,1951,6.7
Версия Браунинга,драма,Энтони Асквит,Великобритания,1951,8.1
Давай сделаем это легально,комедия,Ричард Сейл,США,1951,6.1
Далёкие барабаны,вестерн,Рауль Уолш,США,,6.4
Гром на холме,"Фильм нуар,Мелодрама",Дуглас Сирк,США,1951,6.8
Вор,"Фильм нуар,Триллер",Джозеф Лоузи,США,1951,7.2
Грешница,"драматический фильм,[2],романтический фильм","Вилли Форст,[2],[3]",Германия,1950,6.8
День схватки,Документальное кино,Стэнли Кубрик,США,1951,6.2
Итальянский крестьянский танец,документальный фильм,Макс Складановский,Германия,1895,4.6
Зимний сад,короткометражка,", ",Германия,1895,5.7
Детективная история,"Фильм нуар,Драма",Уильям Уайлер,США,1951,7.5
"День, когда остановилась Земля","фантастика,триллер",Роберт Уайз,США,1951,7.7
Двойной динамит,"романтическая комедия,музыкальный фильм,экранизация","Ирвинг Каммингс,[1]",США,1951,5.9
Бой закончится завтра,"драматический фильм,[1]",Мирослав Цикан,Чехословакия,1951,4.3
Бонифаций-сомнамбула,комедия,Морис Лабро,Франция,5 апреля,5.8
В степи,драма,",, Анатолий Ульянцев",СССР,,5.6
Бродяга,"[d],драматический фильм","Радж Капур,[2]",Индия,1951,7.8
Великий Карузо,"музыкальный фильм,биография,драма",Ричард Торп,США,1951,6.5
"Богатые, молодые и красивые","романтическая комедия,музыкальный фильм,[1],[2]","Норман Таурог,[1],[2]",США,1951,5.8
Бурный прилив,Фильм нуар,Джордж Шерман,США,1951,6.4
Биби Фрикотен,комедия,Марсель Блистен,Франция,1951,4.8
Африканская королева,военная мелодрама,Джон Хьюстон,"США,[2],[3],Великобритания,[2],[3]",1951,7.7
Алый знак доблести,"драма,военный фильм",Джон Хьюстон,США,1951,7.1
Тяжёлый случай,"мелодрама,комедия",Константин Мурзенко,Россия,2013, 
Алая Роза,комедия,Марчелло Пальеро,Франция,1951,5.0
Адрес неизвестен,комедия,Жан-Поль ле Шануа,Франция,1951,6.6
Белинский,"биографический фильм,исторический фильм",Григорий Козинцев,СССР,1951,6.5
Без лишних вопросов,"Фильм нуар,Триллер",Харольд Ф. Кресс,США,1951,6.6
Американец в Париже,,Винсент Миннелли,США,1951,7.2
Две ночи с Клеопатрой,"комедийный фильм,[1],[2]","Марио Маттоли,[2],[3]",Италия,1953,4.8
Два бигха земли,драма,Бимал Рой,Индия,1953,8.3
Моложе себя и не почувствуешь,комедия,Хэрмон Джонс,США,1951,6.5
Молодые чемпионы,комедия,Пьер Блонди,Франция,1951,6.3
Моя жена великолепна,комедия,Андрэ Юнебель,Франция,1951,5.4
«Дахаб»,Киномюзикл,Анвар Вагди,Египет,Египет,6.9
На опасной земле,"нуар,драма",Николас Рэй,США,1951,7.2
Насаждающий закон,"Фильм нуар,Криминальная драма",Британи Виндаст,США,,7.2
Народ против О’Хары,"Фильм нуар,Судебная драма",Джон Стёрджес,США,1951,6.8
Шесть потерянных часов,драматическая комедия,Алекс Жоффе,Франция,1947,6.1
Дама без камелий,драма,Микеланджело Антониони,"Италия,Франция",1953,7.2
Место под солнцем,драма,Джордж Стивенс,США,1951,7.7
Шуаны,"экранизация,исторический фильм,драма,мелодрама,приключения",Анри Калеф,Франция,1947,6.0
Я буду твоей,романтическая комедия,Уильям Сайтер,США,1947,6.5
Шантаж,Фильм нуар,Лесли Селандер,США,1947,5.6
Чудо на 34-й улице,комедия,Джордж Ситон,США,1947,7.9
Чёрный нарцисс,драма,"Майкл Пауэлл,Эмерих Прессбургер",Великобритания,1947,7.7
Ярость пустыни,"Фильм нуар,Мелодрама",Льюис Аллен,США,1947,6.5
Авантюристы,приключенческий фильм,Дэвид Макдональд,Великобритания,1951,5.5
Чёрная полоса,"нуар,триллер",Делмер Дэйвс,США,1947,7.5
Молния бьёт дважды,нуар,Кинг Видор,США,1951,6.5
Как вам это понравится,мелодрама,"Поль Циннер,[1]",Великобритания,1936,5.8
Каждое Воскресенье,Музыкальный фильм,Феликс Э. Файст,США,1936,6.7
Заключительный аккорд,мелодрама,Дуглас Сирк,Нацистская Германия,1936,6.6
Зори Парижа,исторический фильм,Григорий Рошаль,СССР,1936,6.5
Агенты казначейства,нуар,Энтони Манн,США,1947,6.9
«Искатели счастья»,комедийный фильм,"Владимир Владимирович Корш-Саблин,Иосиф Соломонович Шапиро,[1]",СССР,7 октября,6.7
Зелёные пастбища,"драматический фильм,[d]",", ",США,1936,7.0
Банда с Лавендер Хилл,"комедия,криминальный",Чарльз Крайтон,Великобритания,1951,7.5
Quo Vadis,"драматический фильм,немое кино,[d]",Георг Якоби,Италия,1924,5.9
Заключённые,"драма,пропаганда",Евгений Червяков,СССР,1936,6.0
Финансы великого герцога,"драма,комедия",Фридрих Вильгельм Мурнау,Германия,1924,6.2
Шерлок-младший,"комедия,семейный фильм,фэнтези",Бастер Китон,США,1924,8.2
Чудо волков,исторический фильм,Раймон Бернар,Франция,1924,6.9
Кавалерия,"военный фильм,драма,мелодрама",Гоффредо Алессандрини,Италия,1936,5.8
Я живу своей жизнью,комедийная драма,В. С. Ван Дайк,США,1935,5.9
"Тот, кто получает пощёчины","Драма,Мелодрама,Триллер",Виктор Шёстрём,США,1924,7.8
Швейк в русском плену,"комедия, экранизация",Сватоплук Иннеманн,Чехословакия,1927,6.6
Это,"мелодрама,комедия",Кларенс Баджер,США,1927,7.2
Мадам Икс,драма,Лайонел Барримор,США,1929,5.6
Энни Окли,вестерн,Джордж Стивенс,США,1935,6.6
Шестое чувство,драма,Микаил Микаилов,СССР,1935, 
Магдалена,драма,Константы Меглицкий,Польша,1929, 
Мост короля Людовика Святого,драма,Чарлз Брейбин,США,1929,6.8
Чикаго,"комедийная драма,криминальный фильм,немое кино",Фрэнк Урсон,США,1927,7.3
A Rural Elopement,драматический фильм,Дэвид Уорк Гриффит,США,1909,7.0
Индусский кинжал,драматический фильм,Дэвид Уорк Гриффит,США,1909,3.2
Электрический театр Боба,"комедия,мультфильм",Сегундо де Шомон,Франция,1906,5.7
Человек из ресторана,мелодрама,Яков Протазанов,СССР,1927,6.9
Love Finds a Way,драма,Дэвид Уорк Гриффит,США,1909, 
A Wreath in Time,комедия,Дэвид Уорк Гриффит,США,1909,5.0
One Touch of Nature,драматический фильм,Дэвид Уорк Гриффит,США,1909,6.6
Четыреста проделок дьявола,фантастика,Жорж Мельес,Франция,1906,6.8
The Welcome Burglar,драматический фильм,Дэвид Уорк Гриффит,США,1909,6.5
Mr. Jones Has a Card Party,комедия,Дэвид Уорк Гриффит,США,1909,5.2
Юность Максима,"драма,исторический фильм","Григорий Козинцев,Леонид Трауберг",СССР,1935,6.7
Глубина,"ужасы,триллер",Дэвид Туи,США,2002,6.1
Мыльные пузыри,фантастика,Жорж Мельес,Франция,1906,5.4
Сон пожирателя гренок с сыром,"фэнтези,комедия","Уоллес Маккатчен,Эдвин Портер",США,1906,6.7
Я это сделала,драматический фильм,Дэвид Уорк Гриффит,США,1909,4.8
Герой-одиночка,боевик,Кен Санцел,"Канада,США",2002,5.5
Сын дьявола,комедия,Шарль Лепин,Франция,1906,6.2
Глобальная угроза,Боевик,Терри Каннингем,США,2002,3.6
Глаз,"фильм ужасов,мистический триллер,драма","Оксид Пан (Пханг Сёнь),Дэнни Пан (Пханг Фат)","Гонконг,Сингапур",2002,6.6
Гиностра,"фильм-триллер,драматический фильм,криминальный фильм",Мануэль Прадаль,"Франция,США,Италия",2002,4.6
Подлинная история банды Келли,"драма, криминал, вестерн, биография, история",Чарльз Тейт,Австралия,1906,6.0
Герой,"уся,боевик,приключенческий фильм",Чжан Имоу,Китай,2002,7.9
От Ледвилла до Аспена: Налёт в Скалистых горах,вестерн,Френсис Дж. Мэрион,США,1906,5.9
Глиняная птица,драма,[en],Бангладеш,2002,8.4
Лапочка,"драма,мелодрама,музыкальный фильм,R&B,Хип-хоп",Билле Вудрафф,США,2003,5.3
Лабиринты,"криминальный фильм,драма,триллер",Рене Манзор,"Франция,Бельгия",2003,6.8
Гензель и Гретель,"детский фильм,фэнтезийная комедия",Гэри Дж. Танниклифф,США,2002,4.4
Емельян Пугачёв,"фильм-биография,исторический,драма",Алексей Салтыков,СССР,1978,6.3
Блу-сити,детектив,Мишель Маннинг,США,1986,4.4
Дядя Адольф по прозвищу Фюрер,комедия,"Франко Кастеллано,Джузеппе Моккия",Италия,1978,5.3
Кухонные байки,комедия,Бент Хамер,"Норвегия,Швеция",2003,7.3
Дьявол,"драма, экранизация",Ежи Домарадский,ПНР,1978,6.2
Духовное кунг-фу,"боевик,комедия,фэнтези",Ло Вэй,"Гонконг,Китайская Республика",1978,5.7
"Женщина, которая поёт","музыкальный фильм,мелодрама",Александр Орлов,СССР,1978,5.8
Дочь Сатаны,фильм ужасов,Питер Сайкс,Великобритания,4 марта,5.8
Мастер наносит удар,"боевик,комедия",Гао Баошу,Гонконг,1980,6.7
Маленькая мисс Маркер,"драма,мелодрама,комедия",Уолтер Бернстайн,США,1980,6.3
Маленькие прелестницы,мелодрама,Рон Максвелл,США,1980,6.5
Маленький круг друзей,драма,Роб Коэн,США,1980,5.9
Всё для вас,"комедия,мюзикл","Мария Барабанова,Владимир Сухобоков",СССР,1964,6.6
Высшая неверность,комедийный фильм,Лучано Сальче,"Франция,Италия",1964,6.4
Мастер,"боевик,комедия",Лу Цзюньгу,Гонконг,1980,6.7
Путешествуя по сети ненависти,документальный фильм,"Нике Нордмарк, Хассе Йоханссон",Швеция,2013, 
Второй шанс,фантастика,Пол Стенли,США,1964,7.2
Маньяк,слэшер,Уильям Лустиг,США,1980,6.4
Марсианские хроники,"фантастика,драма",Майкл Андерсон,"США,Великобритания",1980,6.5
Очарован тобой,"мюзикл,комедия",Юлдаш Агзамов,"СССР,Узбекистан",1958,6.0
Волк 359,фантастика,Ласло Бенедек,США,1964,6.6
Последний дюйм,"приключенческий фильм,драма", ,СССР,1958,7.4
Память сердца,военная драма,Татьяна Лиознова,СССР,1958,5.8
Очередной рейс,драма,Р. Гольдин,СССР,1958,7.1
В тени,"неонуар,криминальный фильм,[2],драматический фильм,[2],фильм-триллер,[2]",Давид Ондржичек,"Чехия,[2]",13 сентября,7.1
В тумане,"военный,драма",Сергей Лозница,"Россия,Белоруссия,Латвия,Германия,Нидерланды",2012,6.7
В финале Джон умрёт,"триллер,фантастика",Дон Коскарелли,США,2012,6.3
В хлам,"драма,комедия,саундтрек",Джеймс Понсольдт,США,2012,6.7
Ваджда,драма,Хаифа аль-Мансур,Саудовская Аравия,2012,7.5
Запретная зона,"ужасы,триллер,фантастика",Брэдли Паркер,США,2012,5.0
Запертые в гараже,"Драма,Комедия",Дженнифер Весткотт,Канада,2012,6.8
Вампирши,"комедия,ужасы",Эми Хекерлинг,США,2012,5.3
В поисках Янтарной комнаты,приключенческий фильм,Флориан Баксмайер,Германия,2012,5.0
Запретное образование,"документальный фильм,[1]",German Doin,Аргентина,2012,7.4
Замуж на 2 дня,комедия,Паскаль Шомей,Франция,2012,6.3
Заложники,"драма,триллер",Тобиас Линдхольм,Дания,2012,7.1
Залив,"ужасы,псевдодокументальный фильм",Барри Левинсон,"США,[3],[4],[…]",13 сентября,5.7
В поисках Сахарного Человека,документальный,Малик Бенджеллуль,"Швеция,Великобритания",2012,8.2
Заложница 2,"боевик,криминал,триллер",Оливье Мегатон,Франция,2012,6.2
Последняя охота,"Триллер,Драма",Александр Карпов,Россия,2013, 
Под стук колёс,"киноповесть, экранизация",Михаил Ершов,СССР,1958,5.9
Источник,драма,Ксавье Дюрринжер,Франция,2013,6.2
Игры богов,"комедия,драма",Марк Тёртлтауб,США,2013,5.1
Подвиги Геракла,,[it],"Испания,Италия",1958,5.4
История одной старушки,,Алексей Горлов,Казахстан,2013, 
Ип Ман: Последняя схватка,"боевик,биографический фильм,исторический фильм",Херман Яу,Гонконг,2013,6.1
Иллюзия обмана,"детективный,триллер,Саундтрек",Луи Летерье,"США,Франция",2013,7.2
Инструкции не прилагаются,комедия-драма,Эухенио Дербес,"Испания,Мексика",2013,7.5
Зодиак,детектив,Дэвид Финчер,США,Сан-Франциско,7.7
Из пекла,"криминальный,триллер",Скотт Купер,"США,Великобритания",2013,6.7
Как я теперь люблю,мелодрама,Кевин Макдональд,Великобритания,Однажды в сентябре,6.4
Иерусалим,"научно-популярный,документальный",Даниэль Фергюсон,"США,Великобритания",2013,7.3
Интерьер. Кожаный бар.,документалистика,Джеймс Франко,США,2013,5.0
Излечить страх,"исторический,драма",Александр Пархоменко,"Украина,Белоруссия",2013,7.4
Золотой век,"драма,мелодрама,фильм-биография,исторический фильм",Шекхар Капур,"Великобритания,Франция,Германия",2007,6.8
Ида,"драматическое,роуд-муви",Павел Павликовский,"Польша,Дания,Великобритания,Франция",2013,7.4
Зов предков,"документальный фильм,[2],документальная драма",Рон Ламот,США,29 сентября,7.3
Илоило,драма,Энтони Чэнь,Сингапур,2013,7.2
Кто твой Кэдди?,комедия,Дон Майкл Пол,США,2007,2.3
Под солнцем Тосканы,"мелодрама,комедия",Одри Уэллс,"США,Италия",2003,6.7
Поворот не туда,слэшер,[en],"США,Германия,Канада",,6.1
Чемоданы ,,Питер Гринуэй,Великобритания,, 
"Знать бы, что я гений","комедия,мелодрама",Доминик Уиртшафтер,США,2007,4.8
Сокровища мёртвых,"приключения, боевик",Игорь Шавлак,Россия,2003,7.5
Сорвиголова,"боевик,криминал,неонуар,супергероика",Марк Стивен Джонсон,США,2003,5.3
Стандер,"Биография,Боевик,Драма,Детектив",Бронуэн Хьюз,"Канада,Германия,ЮАР,Великобритания",2003,7.0
Соединённые штаты Лиланда,"криминальная,драма",Мэттью Райан Ходж,США,криминальная,7.0
Станционный смотритель,комедия-драма,Том Маккарти,США,2003,7.6
Сокровище Амазонки,"приключенченский,боевик",Питер Берг,США,2003,6.7
Новые американские граффити,комедия,Билл Л. Нортон,США,1979,5.4
"Пятница, 13-е",слэшер,Шон Каннингем,США,,6.4
Терраса,драма,Этторе Скола,"Италия,Франция",1980,7.1
Путешествие вдвоём,драма,Мишель Девиль,Франция,1980,7.0
Смена времён года,мелодрама, (не указан в титрах),США,1980,5.2
Ночное происшествие,криминальный фильм,Вениамин Дорман,СССР,1980,6.4
Что посеешь...,,Пеэтер Симм,СССР,1980,6.8
Ночь демона,ужасы,Джеймс С. Вассон,США,1980,4.7
Псы войны,боевик,Джон Ирвин,"Великобритания,США",1980,6.3
Тегеран-43,политический детектив,"Александр Алов,Владимир Наумов","СССР,Франция,Швейцария",1980,6.7
Тёмное солнце,"драматический фильм,научно-фантастический фильм,[1],боевик,[1],фильм-триллер,[1]",Отакар Вавра,"Чехия,Чехословакия,[1]",1980,5.3
Через тернии к звёздам,"фантастика,драма",Ричард Викторов,СССР,1980,5.9
Следующий фильм Чича и Чонга,комедия,Томми Чонг,США,1980,6.0
Языческая мадонна,детектив,Дьюла Месарош,ВНР,1980,7.4
"Чёрная курица, или Подземные жители","притча,сказка",Виктор Гресь,СССР,1980,6.1
Oru Thalai Ragam,"музыкальный фильм,романтический фильм",Т. Раджендар,Индия,1980,7.9
Через край,"криминальный фильм,драма",Джонатан Каплан,США,1979,7.3
Любовь в большом городе 3,"романтическая комедия,фэнтези",Дэвид Додсон,"Россия,Украина",2013,5.0
Три года,"драма, экранизация",", ",СССР,1980,7.6
One Trick Pony,драматический фильм,Роберт М. Янг,США,1980,6.0
Старая закалка,комедия,Тодд Филлипс,США,2003,7.0
Любовь за любовь,"мелодрама, экранизация",Сергей Ашкенази,Россия,2013,5.9
Порочные игры,психологический триллер,Пак Чхан Ук,"США,Великобритания",2013,6.7
Посетители,документальный фильм,Годфри Реджио,США,2013,6.2
Попавшие на плёнку,"экшн,драма,мюзикл,триллер",Стики Фингаз,США,2013,3.2
S.W.A.T.: Спецназ города ангелов,"боевик,криминал,триллер",Кларк Джонсон,США,2003,6.1
Эквилибриум,"антиутопия,постапокалиптика,боевик,драма,посткиберпанк,неонуар",Курт Уиммер,США,2002,7.3
Новая попытка Кейт Макколл,драма,Карен Монкрифф,США,2013,6.2
"Поймай толстуху, если сможешь",комедия,Сет Гордон,США,2013,5.7
Я остаюсь!,Романтическая комедия,Диана Кюрис,Франция,2003,5.3
Я не боюсь,"драма,триллер",Габриэле Сальваторес,Италия,2003,7.4
"S-21, машина смерти","документальный фильм,[1],[2],исторический фильм,военный фильм,[2]","Ритхи Пань,[2],[3],[…]","Франция,[4],[5],[…],Камбоджа,[1],[6]",2003,7.2
Экспресс Петербург-Канны,авантюрная мелодрама,[en],"Великобритания,Россия",2003,3.6
Показательный процесс: История Pussy Riot,"документальный фильм,драма","Майк Лернер,Максим Поздоровкин","Россия,Великобритания",2013,7.0
Юбилей прокурора,комедийный фильм,Михаил Кокшенов,Россия,2003,1.1
Поза ребёнка,драма,Кэлин Петер Нецер,Румыния,2013,7.4
Эльф,"семейный,комедия",Джон Фавро,США,2003,7.1
Янтарные крылья,"Драма,Мелодрама",Андрей Разенков,Россия,2003,6.2
Последний лимузин,Документальный фильм,Дарья Хлёсткина,Россия,2013,8.1
Последние часы,"фантастика,триллер,фильм-катастрофа,драма",Зак Хилдитч,США,2013,6.6
Я люблю Новый год,мелодрама,"Радхика Рао,Винай Сапру",Индия,2013,3.4
"Столетний старик, который вылез в окно и исчез","чёрная,трагикомедия,приключения",Феликс Хернгрен,"Швеция,Хорватия",2013,7.0
Последние дни на Марсе,"фантастика,триллер,ужасы",Рори Робинсон,"Великобритания,Ирландия",2013,5.5
Я плюю на ваши могилы 2,"триллер,ужасы",Стивен Р. Монро,США,2013,5.7
Я очень возбуждён,комедия,Педро Альмодовар,Испания,2013,5.6
Verax,политический триллер,"Джеф Флороу, Эдвин Ли,,Шон Се, Маркус Цуй",Гонконг,2013,4.9
Va-банк,"драма,триллер",Брэд Фурман,США,2013,5.6
Эпизод из жизни сборщика железа,"драматический фильм,[3],[d]","Данис Танович,[3]","Босния и Герцеговина,Франция,Италия,Словения",13 февраля,6.8
Эффект колибри,"боевик,триллер,драма",Стивен Найт,Великобритания,2013,6.2
Weekend,"детективный,триллер,нуар,драма",Станислав Говорухин,Россия,2013,5.9
Zомби каникулы 3D,"зомби-комедия,трэш",Кирилл Кемниц,Россия,,2.2
Alice in Chains: AIC 23,"псевдодокументальный фильм,комедия,музыка",Питер Дарли Миллер,США,2013,8.3
G.I. Joe: Бросок кобры 2,"фантастика,боевик,приключения,супергероика",Джон Чу,США,2013,5.7
iСтив,Кинопародия,Райан Перес,США,2013,5.2
Последний из Робин Гудов,"биографический фильм,драматический фильм","Уош Вестморлэнд,Ричард Глэтцер",США,2013,5.7
Щепотка перца,драма,Тассос Булметис,Греция,2003,7.5
Шульце играет блюз,"музыкальный фильм,комедийный фильм,драматический фильм,трагикомедия",Michael Schorr,"Германия,[4]",2 сентября,7.0
TPB AFK,Документальный,Симон Клозе,Швеция,2013,7.4
Непреодолимый,документальное кино,"Даррен Доан (,)",США,2013,3.3
Pussy против Путина,документальный фильм,Gogol’s Wives,Россия,2013,6.0
Starперцы,кинокомедия,Джон Тёртелтауб,США,2013,6.6
,драматический фильм,Гьян Корреа,Индия,2013,6.0
Investment,драматический фильм,"Ратнакар Маткари,[1]",Индия,2013,8.4
Перси Джексон,"фэнтези,семейный,приключения"," (1),Тор Фройденталь (2)","США,Великобритания,Канада",, 
One Direction: Это мы,"документальный фильм,музыкальный фильм",Морган Сперлок,"Великобритания,США",2013,4.3
Live Action Toy Story,,"Джонасон Поли,Джесси Перротта (помощник режиссёра)",США,Википедия:К удалению/1 сентября 2023,8.5
Эли,"драматический фильм,[1],[2]",Амат Эскаланте,Мексика,2013,6.8
Эмануэль и правда о рыбах,драма,Франческа Грегорини,США,2013,6.0
Эпидемия,"научно-фантастический фильм,[2],[3],[…],постапокалиптический фильм","Давид Пастор, ,Алекс Пастор",Испания,2013,6.1
Элитное общество,"криминальная,драма",София Коппола,"США,Великобритания,Япония,Германия,Франция",2013,5.6
Metallica: Сквозь невозможное,"музыкальный фильм,хеви-метал,трэш-метал",Нимрод Антал,США,2013,7.1
Эмпайр-стейт,"боевик,драма",Дито Монтиель,США,2013,5.2
Экстрасенс 2: Лабиринты разума,"психологический триллер,фильм-триллер,драматический фильм",Хорхе С. Дорадо,"США,Испания,Великобритания,[3],Франция,[3]",2013,6.4
Экзамен для двоих,комедия-драма,Пол Вайц,США,2013,5.7
Эверест. Достигая невозможного,"3D,докудрама",[en],Новая Зеландия,2013,6.8
Штурм Белого дома,боевик,Роланд Эммерих,США,,6.3
