Название,Жанр,Режиссер,Страна,Год,IMDB
Гамера против Дзигры,"фантастика,токусацу",[en],Япония,,3.6
Война Мёрфи,драма,Питер Йетс,Великобритания,1971,6.8
Война и люди,"военная,драма,военная,драма,военная,драма,военная,драма","Сацуо Ямамото,Сацуо Ямамото,Сацуо Ямамото,Сацуо Ямамото","Япония,Япония,Япония,Япония",,6.9
Возвращение к жизни,"киноповесть,драматический фильм",Владимир Басов,СССР,1971,5.7
Возвращение надоедливой букашки,комедия,Жерар Пирес,"Франция,Италия",1971,4.4
Весёлые Жабокричи,"кинокомедия,музыкальный фильм,водевиль",Виктор Иванов,СССР,1971,6.5
Весенняя сказка,"детский фильм,сказка",Юрий Цветков,СССР,1971,6.5
Вилли Вонка и шоколадная фабрика,"семейный фильм,фэнтези,музыкальный фильм",Мел Стюарт,"Великобритания,США,[2],[3]",1971,7.8
Взломщики,"детективный фильм,триллер,боевик",Анри Вернёй,"Франция,Италия",1971,6.6
Вдова Кудер,драма,Пьер Гранье-Дефер,Франция,1971,6.9
Вампирши-лесбиянки,"Ужасы,Саундтрек",Хесус Франко,"ФРГ,Испания",1971,5.4
Бурная река,"боевик,приключенческий фильм",[en],Гонконг,1971,5.9
В. Р. Мистерии организма,"комедия,драма,фэнтези",Душан Макавеев,"ФРГ,Югославия",1971,6.7
В тени смерти,драма,Гунар Пиесис,СССР,1971,7.4
Быстрый меч,приключенческий фильм,[en],"Гонконг,Китайская Республика",1971,6.4
Братство сатаны,ужасы,Бернард МакЭвети,США,,5.5
Брат мой,"драма, биография",Абдулла Карсакбаев,СССР,1971, 
Бриллиант Раджи,приключенческий,Сильвестр Хенциньский,,1971,5.5
Наследие,триллер,Ричард Маркуанд,"Великобритания,США",1978,5.7
Pretty Peaches,порнофильм,"Ренци, Алекс де,[1]",США,23 ноября,6.3
"Ратлз: Всё, что тебе нужно — это бабки",Псевдодокументальный фильм,"Эрик Айдл,Гари Уайс",Великобритания,1978,7.3
"Ярославна, королева Франции",исторический,Игорь Масленников,"СССР,Польша",1978,6.4
Я хочу вас видеть,"военный, биография",Янош Вейчи,СССР,1978,5.6
Kiss встречает привидение парка,Комедия,Гордон Хесслер,США,30,4.6
Я хочу держать тебя за руку,"комедия,мюзикл","Роберт Земекис,[1],[2]",США,1978,6.8
Ярость,"триллер,фильм ужасов",Брайан Де Пальма,США,1978,6.3
Юбилей Данте,"драма,мелодрама",", ","СССР,Азербайджанская ССР",1978,6.8
«Шла собака по роялю»,лирическая комедия,Владимир Грамматиков,СССР,1978,6.8
"Я робкий, но я лечусь",комедия,Пьер Ришар,Франция,Википедия:К удалению/3 ноября 2023,6.4
Шалимар,приключенческий фильм,Кришна Шах,Индия,1978,6.3
Чужие деньги,драма,Кристиан де Шалонж,Франция,1978,6.9
Школьный вальс,"мелодрама,школьная драма",Павел Любимов,СССР,1978,7.0
Шаолиньский богомол,"боевик,драма",[en],Гонконг,1978,6.7
Шахта,политическая драма,Явуз Ёзкан,Турция,1978,7.5
"Что ты мне сделаешь, когда поймаешь",комедия,Станислав Барея,Польша,1978,7.6
Челюсти 2,"ужасы,триллер",Жанно Шварц,США,1978,5.8
Чу Люсян 2: Легенда о Летучей Мыши,"боевик,детективный фильм,триллер",[en],Гонконг,1978,6.5
Чайки летают низко,"криминал,Eurocrime,драма,боевик",Джорджо Кристаллини,Италия,1978,5.7
Целуются зори,комедия,Сергей Никоненко,СССР,1978,6.0
,"боевик,супергероика",Рон Сатлоф,США,,5.0
,"супергеройский фильм,боевик,приключения,пародия",Коити Такэмото,Япония,,6.5
Хэллоуин,слэшер,Джон Карпентер,США,1978,7.7
Хупер,"боевик,комедия",Хэл Нидэм,США,1978,6.4
Хромые мстители,"боевик,драма",Чжан Чэ,Гонконг,1978,7.3
Хорошие манеры,драма,Жан-Клод Гиге,Франция,1978,7.0
Хорошие парни ходят в чёрном,боевик,Тед Пост,США,1978,5.1
Хитрый кавалер,"боевик,комедия",Джозеф Го,Китайская Республика,1978,6.3
Тайны святого Юра,"драма,исторический фильм",Валерьян Пидпалый,СССР,1982, 
Федора,драма,Билли Уайлдер,"Германия,Франция",1978,6.8
Уроки французского,драма,Евгений Ташков,СССР,1978,7.9
Схватка,психологическая драма,Юрий Ерзинкян,СССР,1982, 
Фелисити,"романтика,драма,эротика",Джон Д. Ламон,Австралия,,5.2
